Review and Approval Meeting - Chemical - Session 2 
mié, 11 de dic de 2024

0:05 - Unidentified Speaker Hi, everyone. We'll just give a few minutes for everyone to join. You.
11:09 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Mohammed Ashiq is on hold. No, Ali should be okay for onshore. For Al Dhafra and Al Yasad, there is no forecast chemicals, so it doesn't matter. Definitely, we need Miss Ali because most of this document is related to him because forecast And we also have a lot of comments from him, so it's better if he's on the call, yes?

11:38 - Unidentified Speaker Correct. I'll try to invite him.

11:40 - Yaser Salem Bin Zubaa (ADNOC - GP) Well, let us continue now and inshallah during the discussion. I think all points are already available here in this document raised by Ali and by the team. All the points and comments and feedback is available here in this document. So that you can go ahead and review it together.

12:04 - Unidentified Speaker Sure. Again, a point from Arunkumar.

12:09 - Kunal Sheth (ADNOC Group D&CS) Kindly brief us how effective this IVP is going to work in terms of inventory optimization, timely ordering, avoid excess ordering, avoid batch expiry, or how effective? Stock over ratio. This is more significant in designing this tool in this document. Currently, we are counseling the user to switch from manual demand input, for example, emails, memos, to initiate work order reservations. Further, if they start using the IBP to fill the demand inputs, whether they need to initiate again a work order reservation.

12:53 - Unidentified Speaker I have something to say here.

12:58 - Sergio Bastian Osorio Castro (ADNOC Group D&CS) So, yeah, this will be like, yeah, on a high level, how it's going to work. First, users will not need to collaborate or give a manual input for all the combinations, because the system will generate at least a baseline. Okay, on the top of that, and when needed, the users can make a correction.

13:33 - Unidentified Speaker Okay.

13:34 - Sergio Bastian Osorio Castro (ADNOC Group D&CS) And reservation is still still based on work orders, they still will work, but not for reserved materials. I think that's what we have. I think at in a couple of months, basically, that users in many cases use the work order to reserve material, but not because they need it. Indeed, because they think they will need it, and they start creating the reservations for that. So that step will be removed. So instead of that, we will generate an optimized safety stock, and only when the works need the creation of of a work order, they will have to proceed, but not for forecast duration or safety stock reservation. So work order only when you will perform any type of work, but not for reservation without having a clear purpose of that material, not just to save yourself in case of anything happened. No, that will be managed through, again, stock policies, inventory policies and the generation of the median and long-term forecast. So again, it's a more proactive approach.

14:53 - Arunkumar Viswanathan (ADNOC Refining - HQ) Normally, why we mention this comment is like in catalyst, it is used only during the shutdown, maybe an early shutdown or on two-year swings or four-year swings. So those type of material, it will not come under stock category, like we will not keep keep in warehouse stock. So those are procured mainly for the shut down activities. How to capture those items then? Because by reading the document we are not understanding how to segregate the items.

15:33 - Sergio Bastian Osorio Castro (ADNOC Group D&CS) So the explanation that I gave was for consumptions related to prevent and corrective maintenance. For shutdown or turnover, that's a different story. In that case, there is no way that the system will forecast that. So in that case, we need the work orders well ahead of time so we can generate then the PR and subsequently the PO.

16:02 - Arunkumar Viswanathan (ADNOC Refining - HQ) What are the procedures you are telling? This has to be captured in this document. Your understanding It is fine, it is with you, but maybe others will not understand that way.

16:16 - Sergio Bastian Osorio Castro (ADNOC Group D&CS) Yeah, I think we can be more explicit on that. Yeah, we can be more explicit on that. This document referred mainly to the preventive and corrective and make a section for.

16:30 - MM- SKEC2 - L08 Sorry to interrupt you. We are reviewing the chemicals process, right? So from a chemicals perspective, the document on the process we have discussed is that the planning happens manually, and we are using IVP tool to consolidate all the demand for chemicals. So from that chemicals perspective, Arunkumar, correct me if I'm wrong, that we are taking demand for chemicals which are used for operations. Now, what you are seeing is some chemicals are used during turnaround, and you need to identify how those chemicals which are used during turnaround are identified separately in the process.

17:09 - Unidentified Speaker Is this correct?

17:10 - Arunkumar Viswanathan (ADNOC Refining - HQ) Rahul, how this document is prepared? This document is prepared. Even in some of my comments I mentioned what is the plan for the, I mean, demand planning and the regularly maintained item, no? So, how we are going to differentiate?

17:26 - MM- SKEC2 - L08 So, we are not talking about maintenance, right? Arunkumar, we are talking about the chemicals, materials used in the office.

17:33 - Arunkumar Viswanathan (ADNOC Refining - HQ) under reorder point best planning now? Yes. So how this IVP is going to handle the demand planning? Or whether the demand planning is applicable for those items or not?

17:43 - MM- SKEC2 - L08 So the way we have said is that demand planning is applicable for all the multiple Zchem and Zcash category which was given as multiple types which were given to us. So these multiple types are essentially the chemicals which were used for the during the operations, correct? So for all the multiple which are part of this multi-type ZKM and ZCAT are planned. So currently the process of planning is there are two set of process in planning. One involves manual excel sheets and memos where they tell you what is the requirement for future one to three years. And the other is based upon the historical consumption you set the reorder points and then based upon the reorder points the replenishment. Now it was discussed during the sessions of chemicals as it's a 2P session, that we will consolidate to have a common process for planning of chemicals, where the demand input would be received in terms of IDP by end users, where they will indicate what is the consumption requirement for next one to three years. Will support them with the, based upon historical consumption, what is the forecast for next three to five years. And then that forecast would be reviewed by operations planner to make sure that I can see what type of items IBP will handle. IPP. And ZCAT multi types will be handled by chemicals.

19:08 - Unidentified Speaker Yes.

19:09 - Arunkumar Viswanathan (ADNOC Refining - HQ) Currently there is two inventory types what we are mainly using.

19:15 - MM- SKEC2 - L08 What do you mean by inventory type?

19:19 - Arunkumar Viswanathan (ADNOC Refining - HQ) See from the beginning we are telling the same He explains the procedure as per the current scenario, which is the MRP type Z1 and no.

19:32 - MM- SKEC2 - L08 Yeah, so the MRP types. So you're talking about MRP types, not inventory. We've told right the one of the primary requirement of AdNoc is not to use SAP S4 HANA for MRP planning. Yes, yes, let me explain. So what I'm saying is MRP type what you're having today in S4 HANA. These are the S4 HANA MRP type. If we are using IBP for planning, IBP needs demand. Based upon demand, IBP will create inventory parameters. And those inventory parameters will be used in supply planning to use reorder point planning or advanced supply planning. So the MRP type in S4 HANA are not same as what you do supply planning in IBP. Is a completely different process. That's what we were telling from the workshop as well that while we will. That is captured right that we will have in the document we are talking about demand only. So here we are telling that how demand will get captured as part of supply planning. We will talk about it, how the supply planning will happen, whether it will happen beyond the point planning, whether it will happen at one supply planning and then the advanced algorithms of constraints of supply planning would be used. Document only talks about how we catch the demand of chemicals and not how we replace the demand of the chemicals.

20:57 - Yaser Salem Bin Zubaa (ADNOC - GP) Now what would you like to add in this document in order to be satisfied here? Just tell us what do we need to add here? I mentioned this.

21:08 - Arunkumar Viswanathan (ADNOC Refining - HQ) I mentioned mentioned OK.

21:09 - Yaser Salem Bin Zubaa (ADNOC - GP) I totally agree with your comments.

21:12 - Arunkumar Viswanathan (ADNOC Refining - HQ) Whatever they're telling through. I mean the meetings don't let them record in the document.

21:18 - Yaser Salem Bin Zubaa (ADNOC - GP) Yes, okay, you are right. Please, Arun, try to mention that comment which was already raised by Arun in this document clearly.

21:26 - MM- SKEC2 - L08 Yes, so we've replied, Arun, wherever the Arun comment was with respect to the MRP types, we have replied that the MRP types will be part of supply planning, where we will identify whether...

21:39 - Arunkumar Viswanathan (ADNOC Refining - HQ) See, Rahul, why I am precisely asking so many questions? End user, they'll eat my head. After this for a lot of people, they're asking how to raise any PR or AMR. So now if I'm introducing this IPP tool, these people know the planning people or the process people. I have to support them from day one today and

22:01 - MM- SKEC2 - L08 Agreed agreed so so I don't one of the basic differences today you are raising PR or AMR to to currently I use up if it is that one.

22:12 - Arunkumar Viswanathan (ADNOC Refining - HQ) It is inventory of managed items. If it is PD, it is related to work order based items. So so all of us are changing to some other thing now. The document should be clear now because in future somebody will ask where is this document again? I have to share this kind of documents. Because you're not pulling any other people for this workshop or the planner or not. Process or not the operations. Correct, uh, and even for this document sign off, we have mentioned a comment to include the operations.

22:46 - Unidentified Speaker Also, I recommend operation.

22:47 - Yaser Salem Bin Zubaa (ADNOC - GP) We have a separate meeting with the operation team already. We agreed. So that there should be part of this. There should be part of this document. Yes, you're right from from our side because most of the team here are from the inventory perspective. From our side we'll put our comment and we'll provide the conditional approval so that after that we need to have alignment with the operation with the team we let them review the document because the demand mainly with the end user everything with demand the end user activities this one from our side let's us go through our we'll put our comment we'll put let us agree here your point and the team here is valid I reviewed all this point and from my side so that I also communicate and confirm with the consulting here, everything to be captured in this document. We will not go ahead with any sign up unless all the people here on all the team here are satisfied. This is the chemical process team. It's very crucial. That's the MRO chemical. Any missing, anything that will be here, it will be tomorrow. They will come to ask the end user. This is the demand for the end user. I agree with you. We'll go back to the end user. We'll take the alignment to the end user, the end user. We have this document from our as inventory we review everything all points are reviewed all comments are captured here so that we need your alignment now are you agree with this process yes yes that if he accept agree tell us we'll proceed we'll move forward so that now Aru Kumar your point here and you would like to add anything in your comment here Aru Kumar for the first point maybe in the process information we have to I mean

24:24 - Arunkumar Viswanathan (ADNOC Refining - HQ) brief what will be the advantage of using the IPP tool so how it is going to support us in the inventory optimization or the company MRO stock cover. So those points it should be covered in the first process informations.

24:42 - Yaser Salem Bin Zubaa (ADNOC - GP) Can you start with any introduction for example here to brief any for this command that this IPB will be the benefits and the benefits.

24:57 - Aysha Abdulla Al Ali (ADNOC - GP) I know I'm I think it would be much better for example you present the current scenario what we are practicing now we are now like we are doing our current activity by MRP type Z1 or PD. If you like present this and what are the changes going to be in IBP so that we know what is the existing scenario and what will the scenario will be in IBP. I think if you mention it here it will be much better for the team to get more understand. What are the changes going to be?

25:54 - Khalid Sarfaraz (ADNOC Group D&CS) We did similar for the maintenance. Created with created one sheet. So for our chemicals also you want to align with with them like we're having in a chemical process. You have the as is document.

26:07 - Unidentified Speaker Yeah.

26:08 - MM- SKEC2 - L08 So so asthma or sorry Aysha, what we can do is what Khalid mentioned. We can prepare a separate document so the scope of this document is not to cover what is the current process. What are the

26:22 - Aysha Abdulla Al Ali (ADNOC - GP) Yeah, let's highlight what are the change is going to be in the current scenario? Yeah, change management document. That's correct. Yeah. Like, for example, in the terms of what, now we are focusing more on planned on demand and regular replenishment or MRP type. So in IBB, you told me, you know, we will focus more on demand and supply. So we mentioned these things so that we will focus more and we will get more understanding. Right, right, right. Because if you see most the comments. It's about the MRP area, MRP type inventory material type. This is the confusion.

27:01 - MM- SKEC2 - L08 OK. This is the confusion.

27:03 - Aysha Abdulla Al Ali (ADNOC - GP) So I got I got your point.

27:06 - MM- SKEC2 - L08 So I think what we can do is the way we prepared a document for MRO, we can prepare a similar change document for. For chemicals as well, so that if we can get an input from the team what is the address process, we can identify the changes in the address process. But the point I'm trying to make here is that the document what we are sharing is the BPD document for IBP, and it outlines the processes in IBP. So if we are aligned on the process of IBP, we can prepare a separate document which is highlighting the changes between current address process and to-be process so that the communication or the discussion with any other can happen in

27:50 - Aysha Abdulla Al Ali (ADNOC - GP) way I think it will be much better because if you see most of the comments yeah if you focus the comments they are asking about our existing practice and what is the change we are like focusing more on what we are doing now and how it's like gonna be changed this is most of the comments if you present this is very good yeah absolutely I mean and it's part of our change management so the change impact assessment those

28:18 - Mohamad Naamani (ADNOC Group D&CS) documents as Rahul mentioned based on the different workshops we had on the design of the solution so the 2B we're briefing now we're providing so purpose of DRD and BPD is to show the future process the flows etc but definitely we're happy I mean it's part of what we're preparing but it's coming next so we'll expedite this to show before and after let's call it as such as Khalid and Rahul mentioned we did this for the MRO to clarify that point and we'll do the same here. I think Akhali has his hand raised.

28:57 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) So the before and after will be demonstrated with the real data what we have now. Document you can write whatever you want that's okay no problem.

29:14 - Mohamad Naamani (ADNOC Group D&CS) the after will be on the system so Jaganath as we discussed before so the after will definitely be on the system that's why we're trying to finish the design or get this done yeah that's correct that's correct so how

29:28 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) to say that the after will be optimizing my inventory are you be sure on that or it will reduce my my manual activities or it will definitely it's going to reduce my inventory on ground and also it is going to be give a better planning and also it is going to decide I mean I mean review my levels and then put the optimized levels this will be proved based on our real data or it will be on the

29:58 - Mohamad Naamani (ADNOC Group D&CS) documents only. Now the documents will explain then as we move to as you said testing on the new system we will have previous information and I'll let Rahul, Kunal, Hector, Bastian explain further we will have previous information or consumption with the current plan and we part of also the this project before go live and after is to monitor and see how the solution is performing and fine-tuning but so definitely you'll be able to check how the improvement is that's part

30:31 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Of the scope now how it's done after that no no wait sir not after the go live I don't want to see performance after the go live. We wanted to see what what it is going to give me. Before go live I want to see the advantages. I don't know, maybe if anybody has any other opinion, please share here.

30:53 - Khalid Sarfaraz (ADNOC Group D&CS) So you want to see the inventory optimized before the go live?

30:57 - Aysha Abdulla Al Ali (ADNOC - GP) Yes, of course I want to see. For example, we will take like some materials. We will see how yeah, well, how we are doing. I just want to understand how it's going to be like, let's say MRO and everything.

31:11 - Khalid Sarfaraz (ADNOC Group D&CS) If the system doesn't go live, how are you going to optimize it?

31:15 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) I have a system already, S4 HANA. Why I need IBP? Because I know this has some advantages. Before seeing the advantages, how can I give go signal for go live? Because I need to do a lot of data correction, which is supposed to come from IBP proposal, not after the go live. Before go live, I need to correct my data. And also I do test my systems I mean the data with the IBP to make sure ensure that okay it is going to propose to optimize the inventory levels okay apart from the current one then only I can approve

31:50 - Aysha Abdulla Al Ali (ADNOC - GP) no what do you mean by up to go live. Yeah especially this forecast especially this for forecast concept in chemicals not applicable for all group companies so we want to see this as a test before we go live.

32:03 - MM- SKEC2 - L08 So, Jaganath, what will happen is right now we are defining the system design. Now we need confirmation from you that can we proceed with this. As we proceed, we configure the system. In the next step, we will have the testing with the data from AdNoc and we will demonstrate with AdNoc data how the system is working. It's still in the test environment with test data, which means it's not looking at all which we have an ad hoc. But then this in the testing phase will be able to demonstrate the functionality of the system. With limited set of data, we can compare what's there in in S4 HANA and what's IBP is proposing for the limited set of data will not be able to do it for all data. Once you get confirmed, once you get this confidence on limited set of data in testing on IBP, we will have to decide a strategy on how the changes will impact on production. That would be something part of the cutoff strategy because we are having six months of period to fine tune the system after we implement into production, which means that we'll have to define a strategy together. That after we go live, probably the first step would be for you to review everything in production, comparing with what's there in S4 HANA and what's IBP is proposing. So we may have a plan where after go live, we review everything with production data and then take the decision on making that change in applicable in S4 HANA in terms of PR and PO. So that's something we'll follow as part of the project. So to summarize, today we are doing design. Today we do not have your data, but we have to agree on the design based upon the discussions what we have had. Once the design is agreed upon, we will go into build phase. We will configure IDP based upon your requirement. When we configure with your data, we will demonstrate how IBP is able to perform to what we said in the design document. If there are any changes, we can make those few changes during the build so that it is in line with what your requirement is. And once you see confidence, we will move to the production and then do the next planning production. That's how. So it's not that you will not be able to review anything and you will be able to analyze everything only in the production. You will have ability to look at the tool, see the outcome, evaluate the outcome with S4 HANA with limited set of data and testing, and then based upon that we will have a plan to migrate the solution in production.

34:31 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) But what do you mean by limited set of data Rahul? See you mean to say we cannot bring every data and then do the thorough analysis. We just put some samples and then we'll take green signal. Then you go like so it will not happen.

34:46 - MM- SKEC2 - L08 When I say limited set of data, you will not have ability to say. If there are millions of records in production, probably you will not have time.

34:55 - Mohamad Naamani (ADNOC Group D&CS) Sorry, sorry. Two gentlemen have been waiting and we we need to let Ali and and Abdulrahman talk first in case they have a clarification and then we'll continue because they've been waiting and they raised their hands. Please let's just check the report.

35:10 - Abdulrahman Al Meqbaali (Borouge) Yes, we want someone to take the terms so we don't miss the point. You are discussing something, then you move to another point. Our questions, okay? So I'll be waiting there.

35:24 - Ali Mohammed Ahmed (ADNOC Onshore - PD) I'll say there is somebody already raised the hand before me. Now, just to have common understanding between the team, I mean, Adnok team and the KPMG team. First, based on the comment from Arun As I understand from the beginning that in chemical planning we have two scenarios. We have chemical which is currently the forecast and demand consumption everything is being done manually. We have another scenario for chemical which have reorder point and minimum and maximum already set in the ERP system. Now for the chemical which have minimum and maximum, it was said that it will be, the plan for it, it will be same like MRO, because this is part of MRO also. For chemical which is, which is the bulk is handled manually, that need to be automated in the system. First we have to that this understanding is right or not. Second point which is very important and I think everybody was talking about it and we said this from the day one that what added value this new system will add for the inventory. All the point which mentioned by Arunkumar and also the point Jaganath has mentioned are very crucial. Now we are using current system, what added value? In saving time, in optimizing stock, we don't want to use new system and then that result in inflating our stock. So how this system will help in saving time, how the system will help in optimizing the stock, in being more vigilant and this point have to be very clear for everybody. What advantage and that the point which was raised from the beginning that okay now we are using certain system what added value will add to us the system you give us comparison. Don't say after implementation because after implementation it is too late then we will be spending because we want to start from the beginning correctly.

38:07 - Unidentified Speaker Valid point.

38:08 - Mohamad Naamani (ADNOC Group D&CS) I think what we'll do is let us suggest what can be done during the build, which is why we're saying we'd like to close design to move to build during build during testing. At that time we will have your data. I think someone asked about why representative data? Because again, during test we need to pick some area to focus on. It cannot be everything. Everything will take months to check everything. So we'll agree with you what could be subject or areas of focus. So let us get back on what can be done before Go Live during the testing, during UAT, user acceptance testing also, during cutover before Go Live versus things that will happen after Go Live because of the nature of continuous improvement. But we got your point. You want the first comfort that there is the the real improvement and also you need to uh understand from us that post go live we have six months for continuance fine tuning because this is how the tool works it lives on data it collects data and continuously improves but let us so in order to cover this point now the the current design discussion we we took note of this uh we'll we'll propose something so that you're also comfortable with how the tool is going live based on what.

39:35 - Unidentified Speaker Sorry, Abdurrahman.

39:36 - Abdulrahman Al Meqbaali (Borouge) No, no, just I will add to Mr. Ali point, okay? Regarding the, you are now doing the procedure, let's say design or guideline for the business, then you will go for the stage how it will be implemented, okay? Take some samples and like this. So if we will continue, if we will continue by this two steps, I feel it will not fit correctly because at least we need to understand the business work nature. I will give you example.

40:11 - Unidentified Speaker Okay. Mr.

40:12 - Abdulrahman Al Meqbaali (Borouge) Ali, you mentioned we have two way to replenish our stock. One of them, which is the program planned delivery, which will be in one quarter. Okay. There's a requirement. We will review and make for them the PR, PO, etc. And we have the normal ROP max, MRP level. For MRP level right now, if it's come below ROP, the system will pop up the PR. From our side, we are doing the analysis to see the historical movement. And based on historical movement, look this one it's have a low consumption or have high consumption and according to that we will adjust the MRP level okay this is what we are doing as an inventory now but the point

41:05 - MM- SKEC2 - L08 is the system going to replace this one or not this is what we want to know the new system will do this analysis and give the forecast so yeah so the system So to answer both Ali's point and Abdulrahman, your point, we agree there are two processes for chemical planning. And the system covers both the processes, which means whenever there is a manual demand input, which will be automated by IVP to propose forecast, and then planners can provide their confirmation. So that this input can be taken, and that input would be used for supply planning. Where there is a reorder point-based planning, system will calculate reorder point based upon the historical consumption. So based upon the historical consumption, whatever you're doing manually today, it would be automated by system, which means that system continuously monitors the consumption which is happening.

42:07 - Unidentified Speaker OK. Here's my point.

42:09 - Abdulrahman Al Meqbaali (Borouge) Sorry to interrupt. Here's my point. If system will do this one automatically, Then there is a big chance to do some mistakes. Because I told you, we do the analysis. But again, we reconfirm with the user. Because maybe this consumption happened due to delay in maintenance or something else, et cetera. There is huge consumption for some certain reason. It is not normal, regular consumption.

42:38 - MM- SKEC2 - L08 So that type of analysis, how system Yes, so there are two different ways of having this. If you look at the process, there is something called outlier detection. So as part of demand classification, when we are looking at historical consumption, there is a process of outlier detection where a system determines unusual consumption in a specific period. It highlights that so that user knows that there is something unusual happening. And that confirmation user has to still do with the end user so that whatever current process you are following will continue, but system will highlight such unusual consumption changes so that you know that something is going different than normal. Also, the parameters which are proposed by system are proposal, which means users are supposed to review proposal from system and not blindly determined on system. And once user review agrees to it, then it gets part of the supply planning process.

43:37 - Abdulrahman Al Meqbaali (Borouge) we are not going for automated. Again, we are doing the same.

43:42 - MM- SKEC2 - L08 I disagree there because system is providing you all this input and you are spending time to make sure that whatever is, you are not spending time in creating forecast, you are not spending time in determining what is my historical conundrum. System is giving that input to you and you are focusing only your time on the of exceptions which system has proposed so that you can optimize the system further?

44:11 - Abdulrahman Al Meqbaali (Borouge) Who said? Who said? We have now the system giving us all the data. So while reviewing the PRs, we can check if this material has high movement or low movement. And I can see if there is any jump or something in the consumption. This is the reason why we are coming back to the user and reconfiguring. So still, I am not having a confident how the system will determine if this needs to be changed. And if it's to be changed, he will do this action by itself. If you told me it will go again to the end user to reconfirm it, so we are turning back to the same loop. So at this point of time, I can say This is the reason why I'm telling you going to the design phase at the beginning or making the business design right now, then we go for the live action to see how to generate or how the system is working. I feel it's not the right way.

45:22 - Mohamad Naamani (ADNOC Group D&CS) Sorry to interrupt, but during the design phase we had also a couple of on how the system will behave or will work. No, but demo based on Buruj, WorkNature, or different… On Buruj, WorkNature, but on sample data, because again, to get to your data, we need to get the design, there's a design board that reviews design, then will give us access to your full data so we can move to show you on the system how it works. So this is why we're explaining at this phase, we're not saying trust us, and we'll go live immediately after this phase, this is the design, the concept, just like when you're building a building, you agree on the architecture, the blueprint, the overall, and then as we move to build, we'll say now that we agreed on the basics, before we agree where the pillars are the key things, the overall design or direction, then we're move to the next phase, our approach is to involve you as we build to get all the, one, for you to see the data, you see how the tool works, two, because there are certain parameters we need to agree with you on in terms of the frequency of certain cycles or certain activities, also in terms of segmentation results, and then you will also see what are the things you need to approve or the things that could be automatically approved by the system and what does it mean. The challenge is there is so much we can show now before we move to the actual solution, because in order to do this with your data, per the sequence and approval cycle within AdNoc also, the design should be approved. They want to see what are we configuring to get access to the data. That's why we're saying don't trust us blindly. Tell us that you're okay with design and then the next step you'll see your data on the new system and you would say we used to do this now we're doing this okay we understand but what about so that all that simulation will come next before we even think about going live.

47:34 - Abdulrahman Al Meqbaali (Borouge) Okay Mohammed I agree with you design should be started then we can go for the test but my idea and also most of the team were asking the same question if I put our current process and your proposed process, okay, side by side. Here I can see if I will get any benefit or not. Here I can see if there is any gap or there is no gap. So if I'm designing something without looking to the new system, how it is working, how I can clarify here we need some adjustment, here we need to, you understand me?

48:13 - Unidentified Speaker Yeah.

48:13 - Abdulrahman Al Meqbaali (Borouge) So here's the confusing for us.

48:15 - Mohamad Naamani (ADNOC Group D&CS) And that's why I said, let us suggest what we can do as early as we start to build how we can show you your current data or the current basically what you do and tool so that you can get this comfort and see the benefits. So I think I mentioned the same and I confirmed, yes, this is not it. Let us propose something. We'll tell you this is what we can do. Based on the next activities and the timeline, et cetera.

48:45 - Abdulrahman Al Meqbaali (Borouge) Yes, we can take this. I think our PBS, they can provide you with some data. And based on this data, you can build some examples.

48:57 - Yaser Salem Bin Zubaa (ADNOC - GP) Again, here, Mohamed, the team would like to see the demo for that one. But again, Abdurrahman, I think you have valid points so that that at this stage, they want to hear to put your suggestion and feedback and during the designing stage, everyone will be involved during the design stage so that in that one, we'll have multiple scenarios. We'll see, because the chemicals is different between company and another. Agnico insurer and offshore, they are utilising many well. Agnico gas, they are utilising historical data. Bruges, they have another system. So that we'll have multiple scenarios before any signups during the testing stage. We'll invite you and your team. You need to test the system. You need to say, yes, we agree on this. We don't agree with that. Yes, it has this step. No, we agree on that step. At the end, we'll gather all, what I mean, proposed ideas, suggestions, everything, and we'll move forward for the final sign off and implementation. Before that one, I'm the owner for sign off. I will not sign anything unless the end user for the chemicals accept during the testing stage. I know the chemicals. I know the crucial of the chemicals. We have multiple scenarios. We have a lot of the materials are not the same. So that, just now, what we need from you from your side, Abdurrahman. Put your feedback, we will mention it here in this document. And inshallah, during the upcoming stage or upcoming design or desktop, we'll consider your point, inshallah. So that now, Abdurrahman, your point here, we would like to see multiple scenarios based on the material type, right?

50:57 - Unidentified Speaker Abdurrahman?

50:58 - Abdulrahman Al Meqbaali (Borouge) Yes, yes. On what we are doing currently. Same what we discussed, we have two main types of ordering for the material, which is the normal plant and which by system MRP calculation.

51:13 - Yaser Salem Bin Zubaa (ADNOC - GP) Can you please, Rahul, capture this point? The team here, this is project team. This is the point from the project team would like to see a demo, multiple scenarios, based on the nature of frozen line items?

51:31 - Unidentified Speaker Yes, Abdulrahman.

51:31 - Abdulrahman Al Meqbaali (Borouge) Also, in our reply, we have mentioned some areas which need to be, we need more further understanding about, like for example, VMI. We have some material with VMI, how it will be captured. And so on this one, the reply should stand by the vendor.

51:55 - Yaser Salem Bin Zubaa (ADNOC - GP) I think role of VMI and agreement supply I think.

51:59 - MM- SKEC2 - L08 Yeah, so during the supply discussion we discussed about the VMI requirement of the remand. So and we understand that the VMI what you have is for the raw material so that the vendor carries the raw material with him and then based upon the order which Adnok provides he the VMI is not for the finished material which is provided by the vendor, but for the raw materials, correct?

52:26 - Abdulrahman Al Meqbaali (Borouge) Yes, yes, for raw material, not for finished goods.

52:29 - MM- SKEC2 - L08 Yeah, yeah, so and it was discussed that we don't need visibility of raw materials of the finished goods in IBP, but then we need to know that we need to make sure that the lead times are correctly maintained considering that vendor is carrying raw material, which means he can have reduced lead time for supplying of finished goods and times are correctly captured during supply planning so that we plan the material appropriately. That was a discussion during the workshop in supply planning.

52:59 - Abdulrahman Al Meqbaali (Borouge) Yeah, lead time, it's not for raw material, for processed chemicals, huh? For the finished goods, right?

53:05 - MM- SKEC2 - L08 Whatever finished goods, the chemicals we are buying from the vendor, considering that the vendor carries the raw material with him, which means he can supply the material faster, which means the lead times are reduced for planning the finished foods. And again, it is part of the supply discussion what we discussed. The current discussion agenda is only on demand. This document is how we capture the demand. And then we will have a separate session on how we fulfill the demand as part of the supply Now, are you okay, Abdurrahman?

